system_id,ligand_chain_id,n_atoms,plddt_mean,rmsd
5s9l__1__1.A__1.H_1.I,1.H,32,71.645625,0.6139564367834446
5s9m__1__1.A__1.C_1.I,1.C,33,73.05212121212122,1.4678957533436616
5s9z__1__1.A_1.B__1.R,1.R,18,47.51944444444445,1.4642019155460153
5sau__1__1.A__1.B,1.B,28,96.03178571428573,0.33021581840503145
5sav__1__1.A__1.B,1.B,30,95.81733333333332,0.6828140855612295
5saw__1__1.A__1.B,1.B,28,95.10428571428572,0.23520169918290462
5sb2__1__1.A__1.G,1.G,30,95.63233333333332,0.18279292915083517
5scm__1__1.A__1.F_1.G_1.H_1.I,1.F,4,76.22749999999999,0.604273713753496
5scm__1__1.A__1.F_1.G_1.H_1.I,1.G,4,67.35,0.3538253943691762
5scm__1__1.A__1.F_1.G_1.H_1.I,1.H,28,95.27392857142856,1.5050632076723616
5scm__1__1.A__1.F_1.G_1.H_1.I,1.I,48,98.70583333333333,0.1079400118204878
5scn__1__1.A__1.B_1.C,1.B,30,94.97,0.8095510482674018
5scn__1__1.A__1.B_1.C,1.C,48,98.489375,0.12432459857757364
5sdh__1__1.A_1.B__1.F,1.F,18,79.31277777777778,0.8299485687915251
5sdu__1__1.A__1.G,1.G,26,96.39192307692309,0.2263458396717811
5sdy__1__1.A__1.D,1.D,33,95.31303030303032,1.173915914619498
5se0__1__1.A__1.G,1.G,33,96.51727272727273,0.4374338608841012
5se2__1__1.A__1.G,1.G,24,97.55083333333334,0.2999749772658634
5se3__1__1.A__1.G,1.G,25,96.4924,0.16520970410267408
5se5__1__1.A__1.G,1.G,29,95.5855172413793,0.1865887205211295
5se6__1__1.A__1.G,1.G,25,94.74040000000001,0.2776485136883978
5se8__1__1.A__1.G,1.G,29,88.01,0.2167237696049927
5se9__1__1.A__1.G,1.G,25,97.23359999999998,0.09682538820751294
5sea__1__1.A__1.G,1.G,30,88.17033333333335,0.7419527134881833
5seb__1__1.A__1.G,1.G,24,97.74749999999999,0.1285497217355666
5sec__1__1.A__1.G,1.G,30,97.96533333333333,0.13863451344842415
5see__1__1.A__1.E,1.E,30,87.57333333333334,0.8178839310414338
5seh__1__1.A__1.G,1.G,30,97.023,0.26583382375150555
5sek__1__1.A__1.G,1.G,25,97.904,0.1525180714059621
5sel__1__1.A__1.G,1.G,27,84.4222222222222,1.579681998264879
5sem__1__1.A__1.G,1.G,28,97.78928571428571,0.2159687569695941
5sen__1__1.A__1.G,1.G,30,97.59800000000001,0.20302075038585096
5seo__1__1.A__1.G,1.G,25,95.36800000000001,0.3417212149564566
5sex__1__1.A__1.G,1.G,29,95.56827586206897,1.2550926099947497
5sez__1__1.A__1.G,1.G,27,97.01851851851852,0.21558605397159958
5sf0__1__1.A__1.G,1.G,26,96.80807692307691,0.24556161479196453
5sf1__1__1.A__1.E,1.E,27,97.71407407407406,0.6193514407861277
5sf4__1__1.A__1.G,1.G,35,96.15428571428572,0.6008161517080468
5sf7__1__1.A__1.G,1.G,25,92.43360000000001,1.5295742317567564
5sfc__1__1.A__1.G,1.G,30,91.46833333333333,2.3904541329676436
5sfd__1__1.A__1.G,1.G,25,97.23119999999999,0.23219478291124282
5sfg__1__1.A__1.G,1.G,31,97.60709677419354,0.3070980398310858
5sfh__1__1.A__1.G,1.G,24,97.60083333333334,0.9913736100232159
5sfl__1__1.A__1.G,1.G,33,94.62333333333333,1.1161127480121293
5sfn__1__1.A__1.G,1.G,27,97.04518518518518,0.24223255232566207
5sfo__1__1.A__1.G,1.G,29,89.30448275862067,3.0565431385067288
5sfp__1__1.A__1.G,1.G,25,93.9448,0.1250953361781767
5sfr__1__1.A__1.G,1.G,34,94.70117647058822,2.3083687581763006
5sfx__1__1.A__1.G,1.G,28,84.08392857142857,1.771194852746312
5sfy__1__1.A__1.G,1.G,24,96.92666666666666,0.30420250105188895
5sg0__1__1.A__1.G,1.G,31,97.98,0.1778782477087781
5sg5__1__1.A__1.G,1.G,32,74.7284375,1.9782652830975416
5sg6__1__1.A__1.G,1.G,24,97.79916666666668,0.14043364099684505
5sg9__1__1.A__1.G,1.G,24,96.38333333333333,1.6611859361937238
5sgg__1__1.A__1.G,1.G,23,83.78869565217391,1.7090968217640776
5sgh__1__1.A__1.G,1.G,30,96.90466666666667,0.7338906293409713
5sgk__1__1.A__1.G,1.G,31,96.46322580645162,1.2553176295911772
5sgl__1__1.A__1.G,1.G,31,84.57096774193549,0.9552005924391901
5sgm__1__1.A__1.D,1.D,30,97.89833333333334,0.1255678293354491
5sgp__1__1.A__1.H,1.H,32,96.2215625,1.3435749740225968
5sgr__1__1.A__1.G,1.G,25,95.47999999999998,0.20857961878645556
5sgs__1__1.A__1.G,1.G,24,96.5825,0.16810593608894728
5sgt__1__1.A__1.G,1.G,32,86.56812500000001,0.4623430232981715
5sgu__1__1.A__1.G,1.G,20,97.76149999999998,0.48650305627585116
5sgw__1__1.A__1.G,1.G,24,97.30458333333333,0.1604725035837355
5sgx__1__1.A__1.G,1.G,28,96.87392857142858,0.19946607830158028
5sgz__1__1.A__1.G,1.G,24,94.64958333333334,1.4756929545171091
5sh0__1__1.A__1.G,1.G,31,81.7651612903226,2.481180337491759
5sh1__1__1.A__1.G,1.G,25,97.538,0.5923585236733235
5sh2__1__1.A__1.G,1.G,30,97.55366666666667,0.31448082468077404
5sh6__1__1.A__1.G,1.G,24,89.8775,0.5349360561770689
5sh8__1__1.A__1.E,1.E,29,85.64379310344827,0.5513453910830537
5shc__1__1.A__1.G,1.G,30,87.882,2.117148858972493
5shf__1__1.A__1.G,1.G,26,95.73923076923076,0.2055298992256111
5shg__1__1.A__1.G,1.G,24,98.21208333333334,0.13587327378247185
5shh__1__1.A__1.G,1.G,24,79.25458333333333,1.7531166719489537
5shi__1__1.A__1.E,1.E,26,92.67499999999998,2.0254304887910672
5shk__1__1.A__1.G,1.G,24,82.97208333333333,1.3068022162255788
5shp__1__1.A__1.G,1.G,25,96.0728,0.18340440178083578
5shr__1__1.A__1.G,1.G,26,89.88153846153847,0.32191118342003866
5shu__1__1.A__1.G,1.G,24,97.17291666666667,1.3970783240587075
5shw__1__1.A__1.G,1.G,17,85.98529411764706,0.28776322367301505
5shx__1__1.A__1.G,1.G,16,87.33250000000001,0.3562702067052604
5si3__1__1.A__1.E,1.E,27,96.28851851851852,1.9438914537684173
5si5__1__1.A__1.G,1.G,24,86.30874999999999,0.8572958348120665
5si6__1__1.A__1.G,1.G,32,97.17124999999999,0.2044143162199679
5si7__1__1.A__1.G,1.G,24,95.92958333333335,0.15067126112133353
5si8__1__1.A__1.G,1.G,34,96.84441176470587,0.2718786814876704
5si9__1__1.A__1.G,1.G,30,93.97966666666666,0.2567147899704216
5sie__1__1.A__1.G,1.G,16,88.13625,0.1734082417068772
5sif__1__1.A__1.I,1.I,30,94.15266666666668,1.656611032664297
5sig__1__1.A__1.G,1.G,31,75.42612903225805,2.0664226254690505
5sih__1__1.A__1.H,1.H,29,89.04137931034484,1.7993896801705207
5sio__1__1.A__1.H,1.H,32,96.88718750000001,0.28430349455064857
5sip__1__1.A__1.G,1.G,30,95.69800000000001,0.27146930536262087
5siq__1__1.A__1.H,1.H,28,86.72607142857146,2.284866228544456
5sir__1__1.A__1.G,1.G,26,92.895,0.18035126230816292
5siy__1__1.A__1.G,1.G,34,81.49088235294118,0.8976444895294154
5siz__1__1.A__1.G,1.G,27,94.81666666666668,3.206330165956627
5sj1__1__1.A__1.G,1.G,27,83.78037037037038,2.199632137517047
5sj7__1__1.A__1.G,1.G,25,85.4584,2.3990236793156385
5sj8__1__1.A__1.G,1.G,21,97.71095238095238,0.4661088095881132
5sjb__1__1.A__1.G,1.G,25,77.718,2.0190943870005214
5sjc__1__1.A__1.F,1.F,26,91.77307692307691,0.0835756530596069
5sjf__1__1.A__1.H,1.H,33,95.65151515151516,0.8965042018234364
5sjg__1__1.A__1.G,1.G,25,97.656,0.2116451035043681
5sjl__1__1.A__1.G,1.G,33,86.31969696969696,1.0306371724631997
